,year,mean_developed,standard_deviation_developed,mean_developing,standard_deviation_developing,z_calculated,Alternate Hypothesis Accepted
0,2012,1.1049710494250446,0.6452693286369002,0.814942904853211,0.3503783639333018,2.4981606767771076,True
1,2013,1.0896240572511355,0.6354385023024054,0.7957082561658828,0.3397600557278062,2.5797501600974795,True
2,2014,1.08231147475646,0.6336035136583178,0.7775723115914798,0.3152163603801601,2.7234518632188225,True
3,2015,1.0799050819939269,0.6684977923283545,0.720270599527895,0.298023385598295,3.1076175480567305,True
4,2016,1.0747370244336827,0.6782268017627495,0.7097445813846753,0.289414126401115,3.1304976516347076,True
5,2017,1.099661853983332,0.6727736098563311,0.7200882547155679,0.2881749225691118,3.2800290470882087,True
6,2018,1.11545568117977,0.6625359315671463,0.748734581861205,0.29208543734906617,3.2032388004427363,True
7,2019,1.119248445028443,0.6939683610542905,0.7386022300190913,0.29670853987220314,3.189744007846612,True
8,2020,1.0570628825717345,0.6999990102229576,0.6415563836137825,0.28392444812077167,3.4788642154383638,True
9,2021,1.1531970762886876,0.7112926221359654,0.7278476839405946,0.29442379364773186,3.4945134840189187,True
